Wilayah,Nama
Bali,PWNU Bali
Bangka Belitung,PWNU Bangka Belitung
Banten,PWNU Banten
Bengkulu,PWNU Bengkulu
DI Yogyakarta,PWNU DI Yogyakarta
DKI Jakarta,PWNU DKI Jakarta
Gorontalo,PWNU Gorontalo
Jambi,PWNU Jambi
Jawa Barat,PWNU Jawa Barat
Jawa Tengah,PWNU Jawa Tengah
Jawa Timur,PWNU Jawa Timur
Kalimantan Barat,PWNU Kalimantan Barat
Kalimantan Selatan,PWNU Kalimantan Selatan
Kalimantan Tengah,PWNU Kalimantan Tengah
Kalimantan Timur,PWNU Kalimantan Timur
Kalimantan Utara,PWNU Kalimantan Utara
Kepulauan Riau,PWNU Kepulauan Riau
Lampung,PWNU Lampung
Maluku,PWNU Maluku
Maluku Utara,PWNU Maluku Utara
Nanggroe Aceh Darussalam,PWNU Nanggroe Aceh Darussalam
Nusa Tenggara Barat,PWNU Nusa Tenggara Barat
Nusa Tenggara Timur,PWNU Nusa Tenggara Timur
Papua,PWNU Papua
Papua Barat,PWNU Papua Barat
Riau,PWNU Riau
Sulawesi Barat,PWNU Sulawesi Barat
Sulawesi Selatan,PWNU Sulawesi Selatan
Sulawesi Tengah,PWNU Sulawesi Tengah
Sulawesi Tenggara,PWNU Sulawesi Tenggara
Sulawesi Utara,PWNU Sulawesi Utara
Sumatera Barat,PWNU Sumatera Barat
Sumatera Selatan,PWNU Sumatera Selatan
Sumatera Utara,PWNU Sumatera Utara
